iter	Passed	Remaining
0	0	865
1	1	815
2	2	823
3	3	823
4	4	800
5	4	781
6	5	771
7	6	770
8	6	765
9	7	755
10	8	758
11	9	763
12	9	758
13	10	758
14	11	754
15	12	747
16	12	750
17	13	746
18	14	746
19	15	743
20	15	744
21	16	739
22	17	737
23	18	735
24	18	732
25	19	731
26	20	730
27	21	729
28	21	728
29	22	727
30	23	727
31	23	725
32	24	724
33	25	724
34	26	726
35	27	727
36	27	724
37	28	726
38	29	725
39	30	723
40	30	721
41	31	719
42	32	717
43	32	714
44	33	713
45	34	714
46	35	713
47	35	711
48	36	710
49	37	708
50	37	705
51	38	704
52	39	703
53	40	704
54	41	708
55	41	707
56	42	705
57	43	704
58	44	702
59	44	701
60	45	700
61	46	699
62	46	697
63	47	696
64	48	695
65	49	694
66	49	692
67	50	690
68	51	689
69	51	687
70	52	686
71	53	685
72	53	683
73	54	681
74	55	679
75	55	678
76	56	676
77	57	675
78	57	674
79	58	673
80	59	672
81	59	671
82	60	666
83	61	665
84	61	663
85	62	661
86	62	659
87	63	657
88	64	656
89	64	655
90	65	654
91	66	653
92	66	651
93	67	649
94	68	648
95	68	646
96	69	644
97	69	643
98	70	643
99	71	643
100	72	642
101	72	641
102	73	641
103	74	640
104	74	639
105	75	637
106	76	636
107	76	635
108	77	635
109	78	634
110	79	634
111	79	633
112	80	632
113	81	631
114	81	630
115	82	629
116	83	627
117	84	628
118	84	628
119	85	627
120	86	626
121	86	625
122	87	624
123	88	623
124	88	622
125	89	620
126	90	618
127	90	618
128	91	617
129	92	616
130	92	615
131	93	613
132	93	612
133	94	611
134	95	610
135	95	608
136	96	607
137	97	607
138	97	606
139	98	605
140	99	604
141	99	601
142	100	600
143	100	599
144	101	598
145	102	597
146	102	596
147	103	595
148	104	594
149	104	593
150	105	592
151	105	591
152	106	590
153	107	588
154	107	587
155	108	586
156	109	585
157	109	585
158	110	584
159	111	583
160	111	580
161	112	582
162	113	581
163	113	580
164	114	579
165	115	578
166	115	578
167	116	577
168	117	576
169	117	575
170	118	574
171	119	573
172	119	572
173	120	571
174	121	570
175	121	569
176	122	568
177	123	568
178	123	567
179	124	566
180	125	565
181	125	564
182	126	563
183	127	563
184	127	562
185	128	561
186	129	561
187	129	561
188	130	560
189	131	559
190	131	559
191	132	557
192	133	556
193	133	555
194	134	555
195	135	555
196	136	554
197	136	554
198	137	554
199	138	553
200	139	552
201	139	551
202	140	551
203	141	550
204	141	549
205	142	549
206	143	548
207	143	547
208	144	546
209	144	545
210	145	544
211	146	543
212	146	542
213	147	541
214	148	541
215	148	540
216	149	539
217	149	538
218	150	536
219	151	535
220	151	534
221	152	533
222	152	533
223	153	532
224	154	531
225	155	531
226	155	530
227	156	529
228	156	528
229	157	527
230	158	526
231	158	525
232	159	524
233	159	523
234	160	522
235	161	522
236	161	521
237	162	520
238	163	519
239	163	518
240	164	517
241	164	516
242	165	515
243	166	514
244	166	513
245	167	513
246	167	512
247	168	511
248	169	510
249	169	509
250	170	508
251	171	507
252	171	506
253	172	505
254	172	505
255	173	504
256	174	503
257	174	502
258	175	501
259	176	500
260	176	500
261	177	499
262	177	498
263	178	497
264	179	497
265	179	496
266	180	495
267	181	494
268	181	494
269	182	493
270	183	492
271	183	491
272	184	491
273	185	490
274	185	489
275	186	489
276	187	489
277	188	488
278	188	487
279	189	487
280	190	486
281	190	485
282	191	484
283	192	484
284	192	483
285	193	482
286	194	482
